week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year
2019-01-25,2019-01-25 09:16:00,10859.75,10987.2,10798.9,188.3000000000011,8.669628674693298,10876.074910794448,10843.425089205552,10900,CE,2019-01-31,STRANGLE,93.9,100.5,2019-01-25 09:15:00,6,1.9440000000000002,-8.543999999999995,2000000,10,1834.8623853211009,-15677.064220183476,-0.7838532110091738,2019
2019-01-25,2019-01-25 09:16:00,10859.75,10987.2,10798.9,188.3000000000011,8.669628674693298,10876.074910794448,10843.425089205552,10850,PE,2019-01-31,STRANGLE,46.0,86.25,2019-01-25 14:05:00,6,1.3225,-41.5725,2000000,9,1658.9861751152073,-68968.20276497696,-3.448410138248848,2019
2019-01-25,2019-01-25 13:35:00,10859.75,10987.2,10798.9,188.3000000000011,8.669628674693298,10876.074910794448,10843.425089205552,10900,CE,2019-01-31,RE-ENTRY,68.3,0.05,2019-01-31 15:25:00,6,0.6835,67.5665,2000000,10,1834.8623853211009,123975.22935779818,6.198761467889908,2019
2019-02-08,2019-02-08 09:16:00,11023.5,11117.9,10813.65,304.25,13.800063500703041,11065.486693200888,10981.513306799112,11050,CE,2019-02-14,STRANGLE,39.8,0.05,2019-02-14 15:25:00,6,0.39849999999999997,39.3515,2000000,10,1809.9547511312217,71224.43438914027,3.5612217194570137,2019
2019-02-08,2019-02-08 09:16:00,11023.5,11117.9,10813.65,304.25,13.800063500703041,11065.486693200888,10981.513306799112,11000,PE,2019-02-14,STRANGLE,113.6,,2019-02-08 12:55:00,6,,,2000000,9,1636.3636363636363,,,2019
2019-02-08,2019-02-08 13:35:00,11023.5,11117.9,10813.65,304.25,13.800063500703041,11065.486693200888,10981.513306799112,11000,PE,2019-02-14,RE-ENTRY,126.15,,2019-02-08 14:55:00,6,,,2000000,9,1636.3636363636363,,,2019
2019-02-15,2019-02-15 09:16:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10850,CE,2019-02-21,STRANGLE,34.15,0.05,2019-02-21 15:25:00,6,0.34199999999999997,33.758,2000000,10,1843.3179723502303,62226.72811059908,3.111336405529954,2019
2019-02-15,2019-02-15 09:16:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,STRANGLE,86.0,92.0,2019-02-15 09:15:00,6,1.78,-7.78,2000000,9,1674.4186046511627,-13026.976744186046,-0.6513488372093023,2019
2019-02-15,2019-02-20 15:05:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,RE-ENTRY,39.45,34.75,2019-02-21 09:45:00,1,0.742,3.958000000000003,2000000,9,1674.4186046511627,6627.348837209307,0.33136744186046535,2019
2019-02-15,2019-02-21 09:55:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,RE-ENTRY,31.1,32.8,2019-02-21 10:05:00,0,0.639,-2.338999999999996,2000000,9,1674.4186046511627,-3916.465116279063,-0.19582325581395316,2019
2019-02-15,2019-02-21 10:35:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,RE-ENTRY,27.2,0.05,2019-02-21 15:25:00,0,0.2725,26.877499999999998,2000000,9,1674.4186046511627,45004.18604651162,2.250209302325581,2019
2019-02-22,2019-02-22 09:16:00,10782.7,10808.8,10585.9,222.89999999999964,10.336001187086705,10805.738946646017,10759.661053353984,10800,CE,2019-02-28,STRANGLE,68.2,80.35,2019-02-25 09:15:00,6,1.4855,-13.635499999999992,2000000,10,1851.851851851852,-25250.925925925912,-1.2625462962962957,2019
