,Unnamed: 0,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%,Index,Trade Month,Cumulative ROI%,Running Max ROI%,Drawdown,Max High,Strat Entry,High Entry Ratio
0,0,2016-12-30,18248.2,17831.75,416.4500000000007,18168.45,50%,18376.675000000003,17960.225,high,18000,2017-01-12,2,BANKNIFTY1711218000PE,PE,2017-01-10 09:17:00,15.9,2017-01-12 15:30:00,0.05,Friday Closing,15.85,0.1595,15.6905,486.1111111111112,7704.861111111112,7627.32638888889,0.7704861111111112,0.762732638888889,2017,17500,BANKNIFTY1711217500PE,1.0,0.05,-0.95,-461.8055555555556,7165.520833333335,0.7165520833333335,BANKNIFTY,1,0.7165520833333335,0.7165520833333335,0.0,23.9,15.9,1.5031446540880502
1,315,2016-12-30,8282.55,8134.3,148.2499999999991,8283.0,40%,8342.3,8223.7,high,8200,2017-01-12,1,NIFTY171128200PE,PE,2017-01-11 09:43:00,,2017-01-12 15:30:00,,Friday Closing,,,,1829.2682926829268,,,,,2017,8050,NIFTY171128050PE,0.0,0.0,0.0,0.0,,,NIFTY,1,,,,0.0,,
2,316,2017-01-06,8417.0,8228.0,189.0,8457.65,40%,8533.25,8382.05,low,8550,2017-01-19,6,NIFTY171198550CE,CE,2017-01-13 10:16:00,,2017-01-16 13:17:00,,SL Hit,,,,1754.3859649122803,,,,,2017,8700,NIFTY171198700CE,0.0,0.0,0.0,0.0,,,NIFTY,1,,,,0.0,,
3,318,2017-01-13,8460.2,8373.15,87.05000000000109,8404.35,40%,8439.17,8369.53,low,8450,2017-01-25,5,NIFTY17JAN8450CE,CE,2017-01-20 13:05:00,16.85,2017-01-24 14:16:00,29.4,SL Hit,-12.549999999999995,0.4625,-13.012499999999998,1775.1479289940828,-22278.10650887573,-23099.1124260355,-2.227810650887573,-2.3099112426035497,2017,8600,NIFTY17JAN8600CE,1.6,0.5,-1.1,-1952.6627218934912,-25051.77514792899,-2.505177514792899,NIFTY,1,-1.7886254314595655,0.7165520833333335,-2.505177514792899,31.0,16.85,1.8397626112759642
4,2,2017-01-13,19276.25,18781.6,494.6500000000015,18996.6,50%,19243.925,18749.275,low,19200,2017-01-25,2,BANKNIFTY17JAN19200CE,CE,2017-01-23 09:15:00,15.5,2017-01-25 13:38:00,58.45,SL Hit,-42.95,0.7395,-43.6895,455.7291666666666,-19573.56770833333,-19910.57942708333,-1.9573567708333333,-1.9910579427083333,2017,19800,BANKNIFTY17JAN19800CE,2.05,0.1,-1.95,-888.6718749999998,-20799.25130208333,-2.0799251302083333,BANKNIFTY,1,-3.868550561667899,0.7165520833333335,-4.585102645001232,69.0,15.5,4.451612903225806
5,317,2017-01-13,8460.2,8373.15,87.05000000000109,8404.35,40%,8439.17,8369.53,high,8350,2017-01-25,1,NIFTY17JAN8350PE,PE,2017-01-24 10:51:00,4.05,2017-01-25 15:30:00,0.05,Friday Closing,4.0,0.0409999999999999,3.959,1796.4071856287424,7185.628742514969,7111.976047904192,0.718562874251497,0.7111976047904192,2017,8200,NIFTY17JAN8200PE,0.85,0.05,-0.7999999999999999,-1437.1257485029937,5674.850299401198,0.5674850299401198,NIFTY,1,-3.301065531727779,0.7165520833333335,-4.017617615061113,5.75,4.05,1.4197530864197532
6,1,2017-01-13,19276.25,18781.6,494.6500000000015,18996.6,50%,19243.925,18749.275,high,18700,2017-01-25,0,BANKNIFTY17JAN18700PE,PE,2017-01-25 13:05:00,0.3,2017-01-25 15:30:00,0.05,Friday Closing,0.25,0.0034999999999999,0.2465,467.9144385026738,116.97860962566844,115.3409090909091,0.0116978609625668,0.0115340909090909,2017,18100,BANKNIFTY17JAN18100PE,0.1,0.05,-0.05,-23.39572192513369,91.9451871657754,0.0091945187165775,BANKNIFTY,1,-3.291871013011201,0.7165520833333335,-4.008423096344535,0.3,0.3,1.0
7,3,2017-01-20,19517.7,18725.05,792.6500000000015,19588.4,50%,19984.725,19192.075,high,19200,2017-02-02,1,BANKNIFTY1720219200PE,PE,2017-02-01 14:53:00,1.95,2017-02-02 15:30:00,0.1,Friday Closing,1.85,0.0204999999999999,1.8295,455.7291666666666,843.0989583333331,833.7565104166664,0.0843098958333333,0.0833756510416666,2017,18600,BANKNIFTY1720218600PE,0.8,0.05,-0.75,-341.79687499999994,491.95963541666646,0.0491959635416666,BANKNIFTY,2,-3.242675049469535,0.7165520833333335,-3.959227132802869,2.25,1.95,1.153846153846154
8,319,2017-01-20,8612.15,8328.05,284.1000000000004,8610.5,40%,8724.14,8496.86,high,8500,2017-02-02,0,NIFTY172028500PE,PE,2017-02-02 09:15:00,,2017-02-02 15:30:00,,Friday Closing,,,,1764.7058823529412,,,,,2017,8350,NIFTY172028350PE,0.0,0.0,0.0,0.0,,,NIFTY,2,,,,0.0,,
9,4,2017-01-27,20145.9,19435.75,710.1500000000015,20061.9,50%,20416.975,19706.825,high,19700,2017-02-09,3,BANKNIFTY1720919700PE,PE,2017-02-06 09:24:00,10.75,2017-02-09 15:30:00,0.05,Friday Closing,10.7,0.108,10.592,444.16243654822347,4752.538071065991,4704.568527918783,0.4752538071065991,0.4704568527918782,2017,19100,BANKNIFTY1720919100PE,1.75,0.1,-1.65,-732.8680203045686,3971.700507614214,0.3971700507614213,BANKNIFTY,2,-2.8455049987081136,0.7165520833333335,-3.562057082041447,23.85,10.75,2.218604651162791
